# Timestamped progress log. Append-only.
# Format: YYYY-MM-DD HH:MM  |  <action>
2026-04-18 02:05  |  /recon — wrote docs/RECON_REPORT.md for empty scaffold
2026-04-18 02:12  |  P0 completed — Next 16.2.4 + Tailwind v4 + shadcn/ui scaffold in Portfolio root (commit pending)
2026-04-18 02:20  |  /change populated SESSION_TRACKER.md + CHANGE_IMPLEMENTATION_PLAN.md with P0–P15 chunks
2026-04-18 02:25  |  P1 completed — design tokens (spec hex palette), Geist fonts wired, ThemeProvider (useSyncExternalStore) + ThemeToggle + no-flash script. Lint + build clean.
2026-04-18 02:30  |  P1 review — applied 2 should-fix items: useMemo wrap on ThemeProvider value + --destructive hex conversion.
2026-04-18 02:32  |  /test — added vitest + RTL + jsdom; 12 tests for ThemeProvider + ThemeToggle, all green (805ms).
2026-04-18 02:35  |  P2 completed — BentoGrid + BentoTile primitives, /design preview page, 6 BentoTile tests. 18/18 tests green. Build adds /design static route.
2026-04-18 02:40  |  Committed P0+P1+P2+tests (ea33b82). Un-tracked .claude/settings.local.json.
2026-04-18 02:45  |  Installed gh CLI, set global git identity, pushed main to https://github.com/Darksteal9796/Portfolio (public).
2026-04-18 02:55  |  P3 completed — HeroTile + HeroBackground (dynamic R3F) + ParticleField (2000 particles, violet, cursor parallax) + useMediaQuery. Reduced-motion + desktop-only gating. Replaced Vercel scaffold on /. 22/22 tests green. Build adds @types/three.
2026-04-18 03:02  |  P3 perf polish — killed backdrop-blur on secondary CTA, capped Canvas dpr to [1, 1.5], fixed accumulated rotation bug.
2026-04-18 03:15  |  P4 completed — NowTile (server, marked), StackTile (client, base-ui tooltips, 8 icons), LocationTile (client, useSyncExternalStore clock), ResumeTile (client, track stub). Layout wrapped in TooltipProvider. Mounted all 4 tiles in BentoGrid on /. 531-byte placeholder PDF written. 30/30 tests green. Added deps: marked, @icons-pack/react-simple-icons. AWS + Twilio fall back to lucide (Simple Icons dropped both).
2026-04-18 03:18  |  Committed P3+P4 (2df3040). Now using correct git identity.
2026-04-18 03:22  |  P5 completed — GithubTile async RSC. REST /events/public for latest push commit, GraphQL contributionsCollection for 52-week calendar, last 7 weeks rendered as 7-col grid (Sun→Sat rows, Intl.DateTimeFormat-less pure calc). Both fetches with next.revalidate=3600. Graceful fallback when GITHUB_TOKEN missing. Lucide dropped brand Github icon in v1.x — switched to SiGithub.
2026-04-18 03:25  |  Committed P5 (db505f1). Pushed 2df3040 + db505f1 to origin.
2026-04-18 03:32  |  P6 + P7 completed. P6: ExperienceTile with GSAP ScrollTrigger pin on desktop, vertical stack fallback on mobile + reduced-motion. P7: MDX via next-mdx-remote + gray-matter. lib/case-studies.ts loader. 4 seeded case studies (ARE, AIBB, Avyann, Turing). ProjectCard + /work/[slug] route with SSG via generateStaticParams. CSS view-transition-name for the shared-element morph (simpler than Framer Motion layoutId across App Router). Added matchMedia polyfill to vitest.setup.ts. 37/37 tests green. Deps: next-mdx-remote, gray-matter.
2026-04-18 03:34  |  Committed P6+P7 (7a5e409).
2026-04-18 03:40  |  P8 + P9 completed. P8: contactSchema (zod shared client+server), in-memory rate-limit (5/hour/IP, sliding window), /api/contact POST (validate → limit → Resend; dev no-op when RESEND_API_KEY missing), ContactTile (rhf + zodResolver + success/error states + honeypot). P9: CommandPalette via shadcn CommandDialog wrapping cmdk. ⌘K/Ctrl+K listener at layout level. Sections (Hero/Projects/Stack/Contact), case studies, theme toggle, resume download. Mounted in root layout (now async — loads case-study titles for palette). 53/53 tests green.
2026-04-18 03:45  |  Fixed palette runtime error (missing <Command> wrapper inside CommandDialog — shadcn's dialog wrapper does not include the cmdk root). Polyfilled ResizeObserver + scrollIntoView in vitest.setup.ts. Full ⌘K flow test now passes (54/54).
2026-04-18 04:36  |  P10 completed — native Next 16 sitemap + robots file conventions, dynamic OG images via ImageResponse for / and /work/[slug], enhanced metadata (metadataBase, canonical, OG, Twitter, robots indexing hints, title template), Person JSON-LD on /, CreativeWork JSON-LD on case studies.
2026-04-18 04:40  |  P11 completed — @vercel/analytics mounted via <Analytics/>; Plausible script via next/script gated on NEXT_PUBLIC_PLAUSIBLE_DOMAIN. lib/track.ts fans out events to both providers with the stricter EventProps type (string|number|boolean|null) matching Vercel's AllowedPropertyValues. Events wired: case_study_open (ProjectCard), resume_download (ResumeTile + CommandPalette), contact_submit (ContactTile), scroll_depth_75 (ScrollDepthTracker on case study pages), theme_toggle (ThemeToggle + CommandPalette), command_palette_open (CommandPalette).
